1;port;1561.00;9.75;1776.00;-3.46;8748
1;port;1503.00;9.75;1769.00;-2.74;11246
1;port;1533.00;9.50;1754.00;0.00;13413
1;port;1648.00;9.50;1753.00;1.17;10962
1;port;1564.00;9.50;1763.00;0.38;8750
1;port;1609.00;9.50;1741.00;-0.89;7654
1;port;1582.00;9.53;1784.00;-2.09;8749
1;port;1652.00;9.57;1779.00;1.42;11128
1;port;1493.00;9.60;1764.00;-2.55;11246
1;port;1627.00;9.50;1740.00;0.28;7432
1;fort;1610.00;10.00;1753.00;6.25;0
1;fort;1622.00;10.62;1766.00;4.09;0
1;fort;1639.00;9.90;1776.00;0.47;0
1;fort;1538.00;10.00;1767.00;2.04;0
1;fort;1550.00;10.00;1769.00;4.70;0
1;fort;1642.00;9.85;1764.00;2.54;0
1;fort;1494.00;9.98;1762.00;3.74;0
1;fort;1598.00;10.07;1769.00;0.48;0
1;fort;1574.00;9.90;1775.00;3.14;0
1;fort;1517.00;9.70;1755.00;5.81;0
1;trench;1583.00;9.80;1782.00;2.54;0
1;trench;1595.00;9.70;1745.00;5.21;0
1;trench;1548.00;10.00;1769.00;1.59;0
1;trench;1620.00;10.60;1766.00;4.25;0
1;trench;1530.00;9.90;1760.00;0.99;0
1;trench;1554.00;9.88;1760.00;3.66;0
1;trench;1509.00;9.80;1758.00;0.04;0
1;trench;1641.00;10.18;1758.00;2.70;0
1;trench;1636.00;10.12;1781.00;5.72;0
1;trench;1497.00;9.95;1759.00;0.64;0
2;port;1260.00;9.57;1842.00;-2.78;8360
2;port;1272.00;9.50;1831.00;0.28;12361
2;fort;1265.00;9.90;1831.00;3.58;0
2;fort;1277.00;9.88;1836.00;5.14;0
2;trench;1281.00;9.93;1839.00;1.52;0
2;trench;1264.00;9.80;1827.00;4.19;0
3;port;1150.00;9.50;1935.00;-1.75;9772
3;port;1189.00;9.57;2006.00;-2.02;6731
3;port;1262.00;9.70;1984.00;1.37;9447
3;fort;1329.00;10.62;1898.00;4.19;0
3;fort;1200.00;9.80;2003.00;2.03;0
3;fort;1257.00;9.80;1953.00;5.05;0
3;trench;1327.00;10.95;1871.00;6.25;0
3;trench;1220.00;9.80;2001.00;4.09;0
3;trench;1262.00;9.78;1970.00;0.47;0
4;port;1361.00;9.50;2001.00;-2.27;7553
4;fort;1414.00;10.00;1904.00;4.19;0
4;trench;1408.00;10.20;1924.00;2.03;0
5;port;1374.00;9.50;997.00;0.10;6797
5;port;1293.00;9.50;1068.00;-1.03;6789
5;port;1345.00;9.78;1077.00;-2.45;6791
5;port;1368.00;9.70;1043.00;-4.25;6794
5;port;1326.00;9.78;1013.00;-2.82;6799
5;port;1371.00;9.50;1057.00;1.17;6794
5;port;1313.00;9.85;1080.00;-3.04;6790
5;port;1331.00;9.53;1027.00;-0.91;6799
5;port;1335.00;9.80;1081.00;-2.98;6790
5;port;1365.00;9.50;1028.00;-4.39;6795
5;port;1314.00;9.53;1052.00;-1.57;6788
5;port;1314.00;9.53;1043.00;-1.71;6788
5;fort;1327.00;10.20;1050.00;2.54;0
5;fort;1346.00;10.45;1056.00;5.21;0
5;fort;1319.00;9.95;1059.00;1.59;0
5;fort;1327.00;9.88;1080.00;4.25;0
5;fort;1353.00;9.90;1040.00;0.99;0
5;fort;1337.00;9.78;1021.00;3.66;0
5;fort;1350.00;10.18;1047.00;0.04;0
5;fort;1359.00;9.80;1075.00;2.70;0
5;fort;1374.00;9.70;1002.00;5.72;0
5;fort;1314.00;10.05;1071.00;0.64;0
5;fort;1336.00;10.43;1050.00;4.76;0
5;fort;1363.00;9.80;1062.00;2.61;0
5;fort;1301.00;10.10;1076.00;2.71;0
5;fort;1348.00;10.32;1055.00;0.55;0
5;fort;1353.00;9.80;1012.00;3.21;0
5;fort;1328.00;10.30;1064.00;4.77;0
5;fort;1323.00;10.00;1044.00;1.16;0
5;fort;1346.00;10.03;1069.00;5.28;0
5;fort;1317.00;9.80;1014.00;0.20;0
5;trench;1367.00;9.80;1059.00;3.22;0
5;trench;1359.00;9.75;1006.00;5.88;0
5;trench;1339.00;10.30;1044.00;2.26;0
5;trench;1364.00;9.70;1029.00;0.11;0
5;trench;1333.00;9.88;1081.00;1.67;0
5;trench;1325.00;9.80;1011.00;5.79;0
5;trench;1346.00;9.82;1024.00;0.71;0
5;trench;1351.00;10.00;1069.00;4.83;0
5;trench;1349.00;10.12;1065.00;0.11;0
5;trench;1333.00;10.15;1042.00;2.78;0
5;trench;1365.00;9.70;1037.00;5.44;0
5;trench;1332.00;10.43;1060.00;2.17;0
5;trench;1311.00;9.98;1071.00;3.38;0
5;trench;1346.00;10.45;1053.00;1.22;0
5;trench;1299.00;9.93;1080.00;5.34;0
5;trench;1314.00;9.78;1049.00;5.45;0
5;trench;1344.00;10.43;1050.00;3.29;0
5;trench;1328.00;10.28;1056.00;5.95;0
5;trench;1350.00;10.20;1059.00;2.33;0
6;port;2702.00;9.80;864.00;1.15;10289
6;port;2615.00;9.70;872.00;-2.03;8629
6;port;2701.00;9.75;837.00;1.41;10288
6;port;2606.00;9.50;846.00;-2.19;6366
6;port;2656.00;9.88;905.00;-3.61;12226
6;port;2701.00;9.57;791.00;1.11;13197
6;port;2599.00;9.55;818.00;-2.68;12904
6;port;2668.00;9.50;808.00;0.23;11160
6;port;2617.00;9.50;800.00;-0.46;7353
6;port;2701.00;9.57;855.00;-4.55;10289
6;port;2679.00;9.82;887.00;-4.43;10290
6;port;2678.00;9.53;804.00;-0.56;11160
6;port;2633.00;9.78;880.00;-2.19;8628
6;port;2607.00;9.57;821.00;-2.45;12904
6;port;2706.00;9.50;815.00;1.29;10287
6;port;2641.00;9.50;806.00;0.62;13138
6;port;2609.00;9.50;802.00;0.00;7353
6;port;2638.00;9.78;889.00;-1.89;8628
6;port;2610.00;9.50;825.00;-1.84;12904
6;fort;2641.00;9.90;812.00;0.64;0
6;fort;2676.00;11.30;835.00;4.76;0
6;fort;2646.00;10.20;868.00;2.61;0
6;fort;2643.00;9.93;880.00;2.71;0
6;fort;2621.00;10.00;850.00;0.55;0
6;fort;2661.00;12.12;842.00;3.21;0
6;fort;2693.00;10.07;826.00;4.77;0
6;fort;2624.00;10.20;840.00;1.16;0
6;fort;2673.00;10.23;819.00;5.28;0
6;fort;2635.00;10.78;849.00;0.20;0
6;fort;2626.00;9.93;807.00;3.22;0
6;fort;2702.00;9.82;829.00;5.88;0
6;fort;2689.00;10.25;853.00;2.26;0
6;fort;2680.00;10.15;820.00;0.11;0
6;fort;2642.00;9.90;890.00;1.67;0
6;fort;2673.00;10.45;874.00;5.79;0
6;fort;2626.00;10.30;825.00;0.71;0
6;fort;2690.00;9.98;798.00;4.83;0
6;fort;2612.00;10.00;809.00;0.11;0
6;fort;2600.00;9.90;813.00;2.78;0
6;fort;2678.00;9.95;884.00;5.44;0
6;fort;2661.00;10.45;889.00;2.17;0
6;fort;2683.00;9.95;879.00;3.38;0
6;fort;2610.00;9.80;803.00;1.22;0
6;trench;2636.00;10.43;858.00;5.34;0
6;trench;2665.00;10.78;856.00;5.45;0
6;trench;2618.00;10.10;809.00;3.29;0
6;trench;2696.00;9.98;831.00;5.95;0
6;trench;2646.00;10.38;863.00;2.33;0
6;trench;2643.00;10.78;853.00;3.89;0
6;trench;2678.00;10.53;826.00;1.73;0
6;trench;2621.00;10.30;818.00;4.40;0
6;trench;2634.00;10.00;818.00;0.78;0
6;trench;2677.00;10.32;856.00;2.34;0
6;trench;2699.00;9.88;797.00;0.18;0
6;trench;2703.00;9.80;817.00;2.84;0
6;trench;2660.00;9.98;900.00;5.50;0
6;trench;2663.00;10.38;821.00;2.24;0
6;trench;2687.00;10.35;842.00;3.45;0
6;trench;2676.00;10.28;876.00;1.29;0
6;trench;2642.00;9.90;881.00;2.85;0
6;trench;2664.00;10.50;886.00;5.51;0
6;trench;2611.00;9.98;808.00;1.90;0
6;trench;2644.00;9.95;883.00;6.02;0
6;trench;2619.00;10.03;845.00;6.12;0
6;trench;2693.00;10.05;868.00;3.96;0
6;trench;2606.00;10.00;815.00;1.80;0
6;trench;2599.00;9.82;809.00;4.46;0
7;port;1551.00;9.80;1534.00;0.79;11937
7;port;1518.00;9.60;1521.00;-0.91;6981
7;port;1518.00;9.60;1513.00;-0.84;11936
7;port;1484.00;9.50;1570.00;-2.09;6979
7;port;1500.00;9.50;1528.00;0.17;6981
7;port;1567.00;9.53;1550.00;1.43;9818
7;port;1495.00;9.80;1550.00;-1.23;6980
7;fort;1525.00;10.15;1530.00;5.81;0
7;fort;1543.00;10.85;1559.00;2.54;0
7;fort;1512.00;10.48;1551.00;5.21;0
7;fort;1503.00;9.80;1535.00;1.59;0
7;fort;1520.00;9.95;1510.00;4.25;0
7;fort;1557.00;10.10;1553.00;0.99;0
7;fort;1547.00;10.10;1542.00;3.66;0
7;fort;1494.00;9.98;1565.00;0.04;0
7;trench;1553.00;10.10;1545.00;2.70;0
7;trench;1531.00;11.05;1556.00;5.72;0
7;trench;1538.00;10.20;1521.00;0.64;0
7;trench;1521.00;10.03;1524.00;4.76;0
7;trench;1537.00;10.57;1535.00;2.61;0
7;trench;1509.00;10.55;1558.00;2.71;0
7;trench;1495.00;9.80;1538.00;0.55;0
7;trench;1494.00;9.98;1565.00;3.21;0
8;port;2652.00;9.70;1221.00;-4.51;8784
8;port;2561.00;9.50;1197.00;-2.30;10394
8;port;2643.00;9.50;1132.00;-0.23;7613
8;port;2568.00;9.57;1240.00;-1.38;10392
8;port;2646.00;9.80;1285.00;-3.28;7223
8;port;2620.00;9.70;1190.00;-1.57;4754
8;port;2697.00;9.75;1255.00;-4.35;12422
8;port;2593.00;9.78;1155.00;-1.43;9742
8;port;2663.00;9.75;1196.00;-4.25;8783
8;port;2666.00;9.75;1230.00;0.59;8784
8;port;2671.00;9.53;1157.00;-4.19;11000
8;port;2619.00;9.50;1194.00;0.79;4754
8;port;2569.00;9.53;1230.00;-1.36;10395
8;port;2682.00;9.78;1169.00;0.79;11000
8;port;2582.00;9.78;1207.00;-2.08;10394
8;port;2623.00;9.78;1293.00;-3.84;7222
8;port;2620.00;9.55;1137.00;0.56;7613
8;port;2662.00;9.82;1288.00;-2.82;7223
8;port;2656.00;9.50;1227.00;1.35;8784
8;port;2622.00;9.75;1168.00;-3.14;4447
8;port;2604.00;9.50;1282.00;-2.88;13335
8;port;2584.00;9.78;1157.00;0.32;6185
8;port;2654.00;9.78;1207.00;-4.29;8783
8;port;2620.00;9.50;1193.00;-0.94;4754
8;fort;2588.00;10.12;1225.00;0.20;0
8;fort;2674.00;9.93;1257.00;3.22;0
8;fort;2604.00;9.80;1211.00;5.88;0
8;fort;2604.00;9.80;1175.00;2.26;0
8;fort;2659.00;9.75;1200.00;0.11;0
8;fort;2601.00;9.90;1197.00;1.67;0
8;fort;2666.00;10.00;1178.00;5.79;0
8;fort;2572.00;9.93;1188.00;0.71;0
8;fort;2627.00;10.20;1229.00;4.83;0
8;fort;2660.00;9.98;1249.00;0.11;0
8;fort;2665.00;9.90;1271.00;2.78;0
8;fort;2636.00;10.32;1149.00;5.44;0
8;fort;2622.00;10.05;1280.00;2.17;0
8;fort;2665.00;9.85;1163.00;3.38;0
